day,experiment,wearable,person_id,first_occurrence,last_occurrence
Thu,1,A,24,1467890400299,1467891840819
Thu,1,C,15,1467890528083,1467891891097
Thu,1,B,4,1467890456908,1467891782202
Thu,2,C,3,1467899552773,1467900696544
Thu,2,B,2,1467899500518,1467900643103
Thu,2,D,1,1467899455101,1467900590546
Thu,3,B,11,1467902988144,1467904003811
Thu,3,C,18,1467903047347,1467904074366
Thu,3,D,1,1467902937170,1467903944509
Thu,4,A,1,1467906502369,1467907453623
Thu,4,C,4,1467906428198,1467907547019
Thu,4,D,5,1467906369677,1467907410928
Fri,5,A,1,1467970984186,1467972081953
Fri,5,B,9,1467970944134,1467972094915
Fri,5,C,11,1467971101342,1467972004057
Fri,6,A,12,1467975111089,1467976302446
Fri,6,B,2,1467975065522,1467976231993
Fri,6,D,3,1467975169289,1467976157800
Fri,7,C,23,1467986507493,1467987823828
Fri,7,A,22,1467986568455,1467987739379
Fri,7,D,26,1467986623741,1467987776543
Fri,7,B,19,1467986435382,1467987888538
Fri,8,A,27,1467990077507,1467991229727
Fri,8,B,21,1467990191480,1467991413582
Fri,8,C,16,1467990135044,1467991287232
Fri,8,D,20,1467990254650,1467991355092
Fri,9,A,10,1467993876828,1467994913282
Fri,9,B,14,1467993822917,1467994974247
Fri,9,C,5,1467993775520,1467994855027
